product_id,product_brand,product_model_name
B010V43VFA,Sony,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White)
B011AC4U7A,Samsung,Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black
B0134TVNSQ,Samsung,"Samsung Galaxy S6 Edge+, Black 64GB (Sprint)"
B013XAPUW6,Samsung,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)"
B014GCG150,Samsung,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)"
B014V5XDV2,Samsung,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed)
B014VLTTC8,Samsung,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White
B015ROR4PC,Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed)
B016WYTYFE,Samsung,Samsung Galaxy S5 SM-G900T - 16GB - Shimmery White Smart Phone - Unlocked (Renewed)
B0172EEAQQ,Nokia,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only."
B018OMP8ES,Samsung,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless)
B018TUJE9U,Samsung,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - White
B0192XJ0P6,Motorola,"Motorola XT1585 Turbo 2, (32GB) 5.4'' (White, Verizon)"
B019S654DO,Samsung,Samsung Galaxy S4 16GB Black SPH-L720T Tri-Band (Boost Mobile)
B019TWO7DU,HUAWEI,"Huawei Nexus 6P unlocked smartphone, 64GB Gold (US Warranty)"
B019VHBB32,Motorola,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black)
B01ATTBXY8,Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed)
B01AUOS8BI,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01BG1MW5C,Samsung,Samsung Galaxy Note 5 SM-N920T 32GB Black Smartphone for T-Mobile
B01BHEBDVW,Motorola,Motorola Droid Maxx 2 XT1565 16 GB Verizon Phone w/ 21 MP Rear Camera - White
B01BLSX96G,Samsung,Samsung Galaxy Grand Prime Prepaid Smartphone Family Mobile Powered by T-Mobile
B01CJ3SCJ6,Samsung,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold
B01CJ3SCN2,Samsung,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)"
B01CJ3SF02,Samsung,"Samsung Galaxy GS7 Edge, Gold 32GB (Verizon Wireless)"
B01CN1RZY2,Samsung,Samsung Galaxy Note 5 SM-N920T 64gb - Unlocked Cellphone GSM - Platinum Gold (T - Mobile)
B01CP4CGBE,Samsung,"Samsung Galaxy GS7 Edge, Gold 32GB (Sprint)"
B01CP4CGSC,Samsung,"Samsung Galaxy S7, G930P Gold 32GB (Sprint)"
B01CR1FQMG,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CU22RL0,Samsung,Samsung Galaxy S7 Edge Smartphone - GSM Unlocked - 32 GB - No Warranty - Black
B01CYYYRNK,Samsung,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)"
B01D0JV7AO,Samsung,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed)
B01D0JXCKW,Samsung,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed)
B01D1J9BGU,Samsung,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE
